*7650
0000+49   BD 49 4329  
0423+38   GZ PER      
0423+39   NSV 1624    
0423+78   WY CAM
0424+15   NSV 1627    
0424+16   NSV 16033   
0424+18   UX TAU      
0424+25   DK TAU      
0425+13   NSV 16041   
0425+14   V1146 TAU   
0425+15   NSV 16040   
0425+17   CSV 6110    
0425+17B  V718 TAU    
0425+18   XZ TAU      
0425+18B  HL TAU      
0425+18C  V1073 TAU   
0425+19   NSV 16049   
0425-07   HL ERI      
0426+15   NSV 1640    
0426+17   GG TAU      
0426+18   V1203 TAU   
0426+25   UZ TAU      
0426+25B  BD 25 719   
0426-54   ST DOR      
0427+05   BW TAU      
0427+15A  V996 TAU    
0427+15B  V997 TAU    
0427+16   NSV 16081   
0427+25   DL TAU      
0427+45   V591 PER    
0428+14A  RHO TAU     
0428+14B  NSV 16085   
0428+15   V938 TAU    
0428-00   BD ERI      
0429+44   YY PER      
0429+72   AI CAM      
0429-08   DV ERI      
0430+15   NSV 16106   
0430+16   ALPHA TAU   
0430+23   NSV 1663    
0430+26   V833 TAU    
0430+65   T CAM       
0431+14   V998 TAU    
0431+15   NSV 16115
0431+18   SZ TAU      
0431-03   NU ERI      
0432+00   NSV 1671    
0432+08   RX TAU      
0432+15   NSV 16124   
0432+18   V1149 TAU   
0432+20   HU TAU      
0432+74   X CAM       
0432+74B  87 COMP NE  
0432-63   R RET       
0432-63B  SU RET      
0433+22   VY TAU      
0433+51   NSV 1665    
0434+50   FY PER      
0434-04   BF ERI      
0434-13   HP ERI      
0434-59   TV RET      
0435+20   V834 TAU    
0435+47   V392 PER    
0435-62   R DOR       
0436-03   SN 1999EM   
0437+22   NSV 1702    
0437-38   R CAE       
0438-05   SN 1995G    
0438-07   NSV 16154   
0438-15   HT ERI      
0439+19   NSV 16159   
0439+74   NSV 1723    
0439-10   RZ ERI      
0440+15   V1206 TAU   
0440+17   V1027 TAU   
0440+47   GSC3347149  
0440+68   ST CAM      
0441+16A  DQ TAU      
0441+16B  DR TAU      
0441+26   RV TAU      
0441+29   DS TAU      
0441+36   AW PER      
0441+41   HAD V27     
0441+43   KS PER
0441+79   XY CAM      
0441-07   NSV 1712    
0441-10   HU ERI      
0441-24   EO ERI      
0442+18   NSV 1724    
0442+40   NSV 1725    
0442+40B  HR PER      
0442+42   SV PER      
0442+74   AP CAM      
0442+78   SN 2001B    
0443+28   AO TAU      
0443+83   HS0455+831  
0443-36   T CAE       
0443-49   R PIC       
0444+14   NSV 1735    
0444+15   V1060 TAU   
0444+17   NSV 1733    
0444+66   BD 66 360   
0444-06   SN 1986N    
0444-52   NSV 1721    
0444-59   T DOR       
0445+00   NSV 16175   
0445+02   EP ORI      
0445+05   NSV 1742    
0445+15   BR ORI      
0445+16   NSV 1739    
0445+18   V480 TAU    
0445+28   TT TAU      
0445+30   UY AUR      
0445+46   TASV0449+4  
0445-55   SU DOR      
0445-76   TU MEN      
0446+14   OMI1 ORI    
0446+17   V TAU       
0446+38   HV AUR      
0446+41   EY AUR      
0446+41B  VAR? NW     
0446+49   AU AUR      
0446+69   CC CAM      
0446-00   NSV 16178
0448+30   GM AUR      
0448+43   NSV 1768    
0448+58   DR CAM      
0448+80   RS CEP      
0449+02   PI5 ORI     
0449+07   FG ORI      
0449+07B  NSV 1763    
0449+08   NSV 16192   
0449+10   PI1 ORI     
0449+11   NSV 16191   
0449+30A  SU AUR      
0449+30B  AB AUR      
0449-12   NSV 16187   
0450+33   NSV 1778    
0450+48A  TV AUR      
0450+48B  97 VAR? S   
0450+48C  92 COMP SW  
0450-07   SX ERI      
0450-16   R ERI       
0451+01   NSV 16203   
0451+48   TY AUR      
0451-10   NSV 16202   
0452+00   NSV 16204   
0452+20   Q1994/044   
0452+24   V1061 TAU   
0452+40   AN AUR      
0452+56   TX CAM      
0453+00   V1198 ORI   
0453+01   NSV 1786    
0453+04   UGC 3223    
0453+07   R ORI       
0453+07B  103 COMP E  
0453+14   NSV 1788    
0453+19   V1208 TAU   
0453+31   V337 AUR    
0453-06   UV ERI      
0453-67   HD 268653   
0454+03   V1192 ORI   
0454+39   RX AUR      
0454+43   EPS AUR
0454-14   V? LEP      
0454-16   NSV 1793    
0454-69   HD 268757   
0455+00   NSV 1799    
0455+03   NSV 1800    
0455+40   ZETA AUR    
0455+50   EL AUR      
0455-05   NSV 16219   
0455-12   S ERI       
0455-14   R LEP       
0456+01   NSV 16227   
0456+02   NSV 16225   
0456+24   V1062 TAU   
0456-04   HY ERI      
0456-07   NSV 16224   
0456-11   NSV 16222   
0456-66   HD 32228    
0457+14   V1361 ORI   
0457+15   GP ORI      
0457+26   GSC1853757  
0457+26B  11M* E HW   
0457+58   BM CAM      
0457-11   NSV 16228   
0457-66   HD 268743   
0457-69   HD 268835   
0458+51   9 AUR       
0458+55   CK CAM      
0458-04   NSV 1814    
0458-69   CPD-69 311  
0459+35   AQ AUR      
0459+47   WX AUR      
0459-03   UX ORI      
0500+01   W ORI       
0500+01B  61 COMP NW  
0500+01C  75 COMP N   
0500+01D  NSV 1806    
0500+03A  V ORI       
0500+03B  NSV 1824    
0500+03C  90 COMP SE  
0500+68   UX CAM
0500-22   T LEP       
0500-22B  121 COMP E  
0500-70   HD 32763    
0501+00   V430 ORI    
0501+30   RW AUR      
0501+30B  112 VAR SE  
0501+37   DM AUR      
0501-04   AQ ERI      
0501-04B  EN ERI      
0502+38   TX AUR      
0502-05   NSV 1841    
0502-08   NSV 1837    
0503+09   NSV 1849    
0503+11   NSV 16253   
0503+14   V1364 ORI   
0503+40   NSV 1852    
0503+49   BK AUR      
0503-08   NSV 16251   
0503-12   NSV 1842    
0503-71   HD 269006   
0504+31   DU AUR      
0504+45   TMZ V124    
0504-05   SY ERI      
0504-59   TMZ V13     
0504-70   N MEN 91    
0505+42   SY AUR      
0505-07   NSV 16256   
0506+40   NSV 1871    
0506+53   TAV0514+53  
0506-05   AR ERI      
0506-05B  STAR A W    
0506-08   ER ORI      
0506-08B  V1199 ORI   
0506-11   RX LEP      
0506-67   HV 5637     
0506-68   HD 33579    
0507-03   NSV 16261   
0507-11   NSV 16262   
0507-15   SN 2002BJ   
0507-68   HD 269050
0508+00   NSV 1874    
0508+02   NSV 1872    
0508+17   V1158 TAU   
0508+39   YZ AUR      
0508+40   UZ AUR      
0508+49   UX AUR      
0508+61   DU CAM      
0508-16   MU LEP      
0508-48   S PIC       
0508-68   N LMC 03    
0509+03   EU ORI      
0509+05   NSV 1880    
0509+34   AE AUR      
0509+45   ALPHA AUR   
0509+53   R AUR       
0509-00   V1365 ORI   
0509-08   NSV 1882    
0509-10   NSV 16267   
0509-64A  U DOR       
0509-64B  HV 2886     
0510+00   V1309 ORI   
0510+11   V431 ORI    
0510-68   HD 269128   
0511+00   FN ORI      
0511+01   NSV 16276   
0511+04   V1367 ORI   
0511+20   CD TAU      
0511+33   AR AUR      
0511+35   DY AUR      
0511+42   PU AUR      
0511-00   V1193 ORI   
0511-00B  AKN 120     
0511-00C  NSV 16273   
0511-01   NSV 16274   
0511-09   V1366 ORI   
0511-71   V1341 LMC   
0512+13   V1057 ORI   
0512+30   GS AUR      
0512+33   BS 1732     
0512-47   T PIC
0513+16   XX TAU      
0513-06   NSV 1921    
0513-08   NSV 16282   
0513-16   X LEP       
0513-70   N LMC 51    
0514+02   NSV 1922    
0514+60   DX CAM      
0514-07   NSV 1927    
0514-22   RZ LEP      
0514-66   RY DOR      
0514-67   HD 34664    
0514-69   HD 269227   
0515+32   UV AUR      
0515+37   V420 AUR    
0515-03   NSV 1937    
0515-08   NSV 1938    
0515-33   T COL       
0516+01   GR ORI      
0516+03   V1369 ORI   
0516-00   NSV 16291   
0516-07   NSV 1944    
0517+00   NSV 16296   
0517+03   NSV 16294   
0517-08   V1261 ORI   
0518+00   BI ORI      
0518+14   GV ORI      
0518-00   NSV 16300   
0518-03   NSV 1952    
0518-69   S DOR       
0518-69B  HD 269321   
0518-73   RS MEN      
0519+00   NSV 16302   
0519+01   V1086 ORI   
0519+01B  V346 ORI    
0519+01C  V536 ORI    
0519+20   NSV 1969    
0519+35   NSV 1971    
0519+50   AC AUR      
0519-00   NSV 16301   
0519-02   ETA ORI
0519-06   EX ORI      
0519-06B  NSV 1962    
0519-69   N LMC 92    
0520+00   NSV 1975    
0520+16   NSV 16308   
0520+26   NSV 1982    
0520+29   SAO 77179   
0520+34A  S AUR       
0520+34B  19 AUR      
0520+34C  VAR NW      
0520+34D  116 COMP W  
0520+36   W AUR       
0520-00   NSV 16306   
0520-02   V1370 ORI   
0520-39   SW COL      
0520-69A  HD 35517    
0520-69B  HD 269382   
0521+07   BD 07 896   
0521+22   NSV 16309   
0521+23   V1028 TAU   
0521+34   OP AUR      
0521+42   Y AUR       
0521-00   DH ORI      
0522+00   NSV 16311   
0522+03   FO ORI      
0522+11A  CO ORI      
0522+12   V1371 ORI   
0522+15   YY TAU      
0522+15B  TASV0524+1  
0522+17   NSV 16312   
0522+33   QZ AUR      
0522-01   NSV 1994    
0522-08   NSV 2002    
0522-11   NSV 16310   
0522-12   ZZ LEP      
0523+01   NSV 16315   
0523+02   V1372 ORI   
0523+11A  GW ORI      
0523+25   NSV 2009    
0523+35   LY AUR
0523+72   RR CAM      
0523-01   NSV 16314   
0523-68   HD 269445   
0524+02   NSV 2040    
0524+16   NSV 2027    
0524+21   DU TAU      
0524+22   V1160 TAU   
0524+34   OT AUR      
0524+34B  CTM5 AUR    
0524+38   V428 AUR    
0524-00A  NSV 2012    
0524-00B  NSV 16319   
0524-01   CI ORI      
0524-03   V1159 ORI   
0524-03B  NSV 2022    
0524-04A  S ORI       
0524-04B  NSV 2014    
0524-04C  VAR? SE     
0524-04D  94 COMP SE  
0524-06   V1373 ORI   
0524-20   NSV 2008    
0525+04   CK ORI      
0525+04B  65 COMP SW  
0525+09   V650 ORI    
0525+09B  NSV 2064    
0525+10   V451 ORI    
0525+12A  HI ORI      
0525+12B  HK ORI      
0525+18   DV TAU      
0525+23   NSV 16322   
0525+30   T AUR       
0525-00   V1093 ORI   
0525-01   NSV 2043    
0525-32   TV COL      
0525-71   V2434 LMC   
0526+02B  NSV 16327   
0526+03   33 ORI      
0526+05   BD 05 948   
0526+07   BK ORI      
0526+07B  88 COMP E
0526+07C  99 VAR? N   
0526+07D  NSV 2078    
0526+09   V998 ORI    
0526+09B  V1374 ORI   
0526+11   NSV 2079    
0526+16   NSV 16329   
0526+18   CE TAU      
0526+36   V363 AUR    
0526+36B  VAR? S      
0526-00B  DELTA ORI   
0526-02   NSV 2071    
0526-03   NSV 2075    
0526-03B  V1375 ORI   
0526-04   V1196 ORI   
0526-67   HD 36402    
0526-70   N LMC 00    
0527+07   RT ORI      
0527+07B  NSV 2101    
0527+12   NSV 2106    
0527+20   NSV 2132    
0527+34   EH AUR      
0527-01   NSV 2107    
0527-02   RY ORI      
0527-02B  NSV 16337   
0527-04   V1101 ORI   
0527-05   NSV 2116    
0527-07   NSV 16333   
0527-66   V2724 LMC   
0527-68   V2626 LMC   
0527-70   N LMC 95    
0527-70B  GSC9166581  
0527-71   W MEN       
0528+01   V371 ORI    
0528+02   NSV 16340   
0528+21   NSV 2168    
0528+25   AD TAU      
0528-00   NSV 16347   
0528-01   VV ORI      
0528-01B  NSV 2131    
0528-03   NSV 2147
0528-04   HV ORI      
0528-04B  NSV 2123    
0528-04C  NSV 2138    
0528-04D  NSV 2141    
0528-05   OR NEB GP1  
0528-10   NSV 2135    
0528-16   VZ LEP      
0528-46   UW PIC      
0528-69   HD 269582   
0529+08   V1376 ORI   
0529+09   NSV 2240    
0529+09B  V1271 ORI   
0529+10   NSV 2251    
0529+18   V1161 TAU   
0529+23   NSV 2249    
0529+23B  NSV 16369   
0529+24   CQ TAU      
0529+37   IX AUR      
0529-00   NSV 16375   
0529-01A  NSV 2163    
0529-01B  NSV 16348   
0529-01C  NSV 16353   
0529-02   NSV 2179    
0529-04   NSV 2194    
0529-05   OR NEB GP2  
0529-06   NSV 2238    
0529-07   NSV 2169    
0530+26   NSV 2426    
0530+39   AV AUR      
0530+68   S CAM       
0530+68B  NSV 2544    
0530+68C  84 COMP NE  
0530+68D  95 COMP W   
0530-02   NSV 16417   
0530-03A  NSV 2355    
0530-03B  NSV 2364    
0530-03C  V1377 ORI   
0530-04   OR NEB GP3  
0530-05   OR NEB GP4  
0530-05A  T ORI
0530-05B  90 COMP NE  
0530-05C  127 COMP N  
0530-05D  116 COMP S  
0530-06A  NW ORI      
0530-06B  NSV 16411   
0530-06C  NSV 16413   
0530-06D  NSV 16461   
0530-07   NSV 2239    
0530-09   V653 ORI    
0531+04   NSV 2450    
0531+06   BN ORI      
0531+10   NSV 16591   
0531+10B  TASV0534+1  
0531+21   ZETA TAU    
0531+69   SN 1998EB   
0531-01   EPS ORI     
0531-02   PQ ORI      
0531-04A  NSV 2392    
0531-04B  NSV 2395    
0531-05   OR NEB GP5  
0531-06G  BD ORI      
0531-06K  PR ORI      
0531-06L  V380 ORI    
0531-06M  NSV 2433    
0531-15   WW LEP      
0531-25   SZ LEP      
0531-30   RV COL      
0531-69A  HD 269661   
0531-69B  HD 269662   
0532+00   NSV 2478    
0532+24   GP TAU      
0532+26   V725 TAU    
0532-00   V1379 ORI   
0532-01   X ORI       
0532-01B  108 COMP W  
0532-01C  NSV 2468    
0532-05   OR NEB GP6  
0532-06   OR NEB GP8  
0532-06A  BE ORI      
0532-06B  BF ORI
0532-06D  V586 ORI    
0532-55   Z PIC       
0532-62   BETA DOR    
0532-67   V3198 LMC   
0532-67B  HD 269698   
0532-68   HD 269700   
0532-69   NSV 16354   
0533+04   OMEGA ORI   
0533+16   NSV 2501    
0533+23   NSV 16609   
0533+26   RR TAU      
0533+26D  VAR? SW     
0533+28   AW AUR      
0533+29   HH AUR      
0533+37   RU AUR      
0533+37B  116 COMP S  
0533+60   BY CAM      
0533-04   V1143 ORI   
0533-04B  V369 ORI    
0533-04C  NSV 2483    
0533-05   OR NEB GP7  
0533-06   NSV 16607   
0533-07   NSV 16611   
0533-58   TW PIC      
0534+11   NSV 16619   
0534+28   AB TAU      
0534+31A  NO AUR      
0534+31B  NSV 2537    
0534+68   CRAGG1 CAM  
0534-02   BG ORI      
0534-05   NSV 16613   
0534-06A  NSV 16614   
0534-06B  NSV 16616   
0534-08   NSV 2533    
0534-67   HD 269781   
0534-69   SN 1987A    
0535+12   NSV 2557    
0535+16   NSV 2560    
0535+16B  DX TAU      
0535+17   NSV 16630
0535+31   U AUR       
0535+31B  67 COMP SW  
0535+37   V342 AUR    
0535+38   SZ AUR      
0535+68   AU CAM      
0535-01A  NSV 2553    
0535-01B  NSV 2556    
0535-01C  V901 ORI    
0535-02   ZETA ORI    
0535-02B  NSV 16627   
0535-09   V350 ORI    
0535-55   RY PIC      
0535-66   V3434 LMC   
0536+03   V1149 ORI   
0536+09   NSV 2570    
0536+14   FX ORI      
0536+14B  97 COMP NE  
0536+18   DY TAU      
0536+25   NSV 2588    
0536-02   NSV 16632   
0536-02B  NSV 2578    
0536-02C  NSV 16636   
0536-02D  NSV 16637   
0536-03   NSV 2564    
0536-04   Y ORI       
0536-04B  VAR? NW     
0536-69   NSV 2499    
0537+22   NSV 16641   
0537+23   V731 TAU    
0537+25   NSV 16643   
0537+32   VAR AUR     
0537-69A  V3604 LMC   
0537-69B  V3566 LMC   
0538+00A  GT ORI      
0538+00B  NSV 2599    
0538+09   V630 ORI    
0538+10   CL ORI      
0538+43   WZ AUR      
0538-00   NSV 16646   
0538-01   V1197 ORI
0538-05   NSV 16644   
0538-71   N LMC 02    
0539+00   V351 ORI    
0539+00B  HD 38311    
0539+00C  NSV 16650   
0539+06   FQ ORI      
0539+08   V631 ORI    
0539+09   FU ORI      
0539+09B  87 COMP SW  
0539+09C  89 COMP SW  
0539+13   ST TAU      
0539+15   CP TAU      
0539+15B  89 VAR? NW  
0539+18   EU TAU      
0539+20   Y TAU       
0539+20B  86 COMP S   
0539+24   TU TAU      
0539-69   V3804 LMC   
0539-70   N LMC 48    
0540+12   QS ORI      
0540+21   NSV 2626    
0540+54   V437 AUR    
0540-41   TX COL      
0540-46   W PIC       
0541+08   NSV 16674   
0541+14   NSV 16668   
0541+20   NSV 2628    
0541+23   NSV 2631    
0541+27   AW TAU      
0541+28   FS AUR      
0541+30   FU AUR      
0541+54   V493 AUR    
0541-64   SN 1992BA   
0542+00   V1380 ORI   
0542+22   V421 TAU    
0542+24   NSV 2650    
0542-02   NSV 2640    
0542-10   V1031 ORI   
0542-12   WZ LEP      
0542-69   HD 269992
0542-71   SN 2002B    
0543+18   NSV 16684   
0543+19   SU TAU      
0543-04   NSV 16682   
0543-09   NSV 2641    
0543-31   S COL       
0544+15   EM TAU      
0544+16   NSV 16687   
0544+22   NSV 16686   
0544+26   V781 TAU    
0544-64   HV 12842    
0545+01   NSV 16690   
0545+04   NSV 16689   
0545+07   NSV 16691   
0546+14   SAO 94937   
0546+15A  Z TAU       
0546+15B  RS TAU      
0546+15C  RU TAU      
0546+15D  COMPAN. Z   
0546+15E  108 COMP N  
0546+19A  NSV 16706   
0546+19B  NSV 16714   
0546+20   NSV 16713   
0546+22   NSV 16712   
0546+26A  V593 TAU    
0546+26B  NSV 16716   
0546+33   NSV 2681    
0546-03   NSV 2682    
0546-07   NSV 2677    
0546-29   R COL       
0546-68   CAL 86      
0546-75   R MEN       
0547+01   NSV 2690    
0547+15   SAO 94983   
0547+19   VAR ORI     
0547+25   V1167 TAU   
0547+26   NSV 16720   
0547+67   RXJ0558.3+  
0547-05   CN ORI      
0548+00   NSV 16719
0548+16   NSV 16721   
0548+21   NSV 16722   
0548+41   XY AUR      
0548-01   NSV 2721    
0548-10   NSV 16723   
0549+07   ALPHA ORI   
0549+13   V1382 ORI   
0549+19   NSV 2722    
0549+20A  U ORI       
0549+20B  UW ORI      
0549+20C  106 VAR? S  
0549+20D  NSV 16732   
0549+20E  103 COMP S  
0549+20F  NSV 2731    
0549+28   HD 249119   
0549+32   AY AUR      
0549+32B  STAR A SE   
0549+32C  STAR B SE   
0549+45   TW AUR      
0549+48   LO AUR      
0549+53   V405 AUR    
0549+74   V CAM       
0549-01   V1381 ORI   
0549-06   UV ORI      
0550+13   Z ORI       
0550+24   NSV 16735   
0551+16   V1384 ORI   
0551+20   NSV 2736    
0551+22   BQ ORI      
0551-07   V1383 ORI   
0552+23   NSV 2745    
0552+55   V494 AUR    
0552-02   NSV 16736   
0553+00   NSV 16744   
0553+20   V337 ORI    
0553+25   NSV 16747   
0553+35   CO AUR      
0553+53   Z AUR       
0553+53B  108 COMP E  
0553+53C  85 COMP E
0553+53D  105 COMP S  
0553-01   NSV 16738   
0553-02   NSV 16742   
0554+09   V642 ORI    
0554+20   V529 ORI    
0554+22   NSV 16750   
0554+27   NSV 16751   
0554+39   AZ AUR      
0554+41   KK AUR      
0554-02   NSV 16748   
0554-09   V474 MON    
0555+10   DN ORI      
0555+19   V1385 ORI   
0555+22   NSV 16755   
0555+23   RW GEM      
0555+23B  NSV 2783    
0555+23C  NSV 16754   
0555-03   NSV 2770    
0556+06   TAV0559+06  
0556+09   NSV 2792    
0556+10   DP ORI      
0556+13   NSV 16761   
0556+16   V1307 ORI   
0556+22   RZ GEM      
0556+46A  RS AUR      
0556+46B  SV AUR      
0556+46C  95 COMP NE  
0556-02   V352 ORI    
0556-86   R OCT       
0557+16   RR ORI      
0557+16B  VAR1 NW     
0557+16C  VAR2 NW     
0557+19   NSV 2803    
0557+22   NSV 2799    
0557+27   BG GEM      
0557+28   BS AUR      
0557+42   YY AUR      
0557+47   XZ AUR      
0557+47B  10.2 COMP
0557-10   NSV 16760   
0557-23   SN 1995AD   
0558+23   NSV 16765   
0559+23   NSV 16769   
0559+26A  NSV 2822    
0559+26B  NSV 16771   
0559+36   KP AUR      
0559+43   V393 AUR    
0600+13   DY ORI      
0600+23   NSV 16777   
0600+26   NSV 2823    
0600-10   NSV 16773   
0600-16   SS LEP      
0601+15   V1386 ORI   
0601-24   S LEP       
0602+22   SS GEM      
0602+22B  109 VAR? W  
0602+22C  85 VAR? W   
0602+22D  86 COMP N   
0602+24   NSV 16783   
0602+25   OX GEM      
0602+25B  NSV 16784   
0602+34   NSV 2841    
0602+46   VY AUR      
0602+47   GSC3378045  
0602-21   YY LEP      
0603+07   NSV 16788   
0603+17   V1387 ORI   
0603+22   NSV 16789   
0603+23   PU GEM      
0603+24   NSV 16786   
0604+09   CT ORI      
0604+25   NSV 2853    
0604+26   TU GEM      
0604+43   RR AUR      
0604+43B  VAR SW      
0604+50   X AUR       
0604+50B  122 COMP S  
0604+50C  102 COMP S  
0605+09   GQ ORI      
0605+12   V1388 ORI   
0605+18   NSV 16797   
0605+21   TV GEM      
0605+23   WY GEM      
0605+25   GSC2038-06  
0605+47   SS AUR      
0605+47B  138 VAR? S  
0605+47C  108 COMP E  
0606+21   NSV 2859    
0606+22   BU GEM      
0606+22B  72 COMP E   
0606+23   WW GEM      
0606+45   VV AUR      
0606+45B  NSV 2872    
0606-50   RW PUP      
0606-71   AD MEN      
0607+06   V1389 ORI   
0607+07   NSV 16800   
0607+20   NSV 2869    
0607+27   SU GEM      
0607+46A  ST AUR      
0607+46B  VZ AUR      
0607+46C  VAR? NE     
0607+50   KQ AUR      
0608+08   V1390 ORI   
0608+09   NSV 16802   
0608+22   ETA GEM     
0608+28   V392 AUR    
0608-02   NSV 16804   
0608-48   V347 PUP    
0608-60   RW PIC      
0609+08   NSV 16810   
0609+15   V344 ORI    
0609+15B  VAR NW      
0609+17   V1391 ORI   
0609+23   PW GEM      
0609+28   KR AUR      
0609-45   DZ PUP      
0610+05   NSV 2890    
0610+09   V1392 ORI   
0610+24   NSV 16812   
0610-01   V345 ORI    
0610-02   NSV 16813   
0611+15   CZ ORI      
0611+22   BD 22 1257  
0611+65   BK CAM      
0611-16   NSV 2891    
0612+05   NSV 2896    
